gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1304.pgm -> small_1304.pgm
OK   small_652.pgm -> small_652.pgm
OK   small_683.pgm -> small_683.pgm
OK   small_124.pgm -> small_124.pgm
OK   small_1472.pgm -> small_1472.pgm
OK   small_1800.pgm -> small_1800.pgm
OK   small_937.pgm -> small_937.pgm
OK   small_545.pgm -> small_545.pgm
OK   small_1013.pgm -> small_1013.pgm
OK   small_1924.pgm -> small_1924.pgm
OK   small_1556.pgm -> small_1556.pgm
OK   small_461.pgm -> small_461.pgm
OK   small_813.pgm -> small_813.pgm
OK   small_1690.pgm -> small_1690.pgm
OK   small_1137.pgm -> small_1137.pgm
OK   small_1641.pgm -> small_1641.pgm
OK   small_317.pgm -> small_317.pgm
OK   small_1220.pgm -> small_1220.pgm
OK   small_1587.pgm -> small_1587.pgm
OK   small_776.pgm -> small_776.pgm
OK   small_1719.pgm -> small_1719.pgm
OK   small_189.pgm -> small_189.pgm
OK   small_1378.pgm -> small_1378.pgm
OK   small_158.pgm -> small_158.pgm
OK   small_539.pgm -> small_539.pgm
OK   small_098.pgm -> small_098.pgm
OK   small_1269.pgm -> small_1269.pgm
OK   small_1608.pgm -> small_1608.pgm
OK   small_428.pgm -> small_428.pgm
OK   small_049.pgm -> small_049.pgm
OK   small_902.pgm -> small_902.pgm
OK   small_570.pgm -> small_570.pgm
OK   small_1781.pgm -> small_1781.pgm
OK   small_1026.pgm -> small_1026.pgm
OK   small_111.pgm -> small_111.pgm
OK   small_1447.pgm -> small_1447.pgm
OK   small_1835.pgm -> small_1835.pgm
OK   small_1331.pgm -> small_1331.pgm
OK   small_1496.pgm -> small_1496.pgm
OK   small_667.pgm -> small_667.pgm
OK   small_1750.pgm -> small_1750.pgm
OK   small_206.pgm -> small_206.pgm
OK   small_1215.pgm -> small_1215.pgm
OK   small_743.pgm -> small_743.pgm
OK   small_1674.pgm -> small_1674.pgm
OK   small_322.pgm -> small_322.pgm
OK   small_485.pgm -> small_485.pgm
OK   small_454.pgm -> small_454.pgm
OK   small_826.pgm -> small_826.pgm
OK   small_1102.pgm -> small_1102.pgm
OK   small_792.pgm -> small_792.pgm
OK   small_035.pgm -> small_035.pgm
OK   small_1911.pgm -> small_1911.pgm
OK   small_1563.pgm -> small_1563.pgm
OK   small_1849.pgm -> small_1849.pgm
OK   small_1898.pgm -> small_1898.pgm
OK   small_1212.pgm -> small_1212.pgm
OK   small_744.pgm -> small_744.pgm
OK   small_1673.pgm -> small_1673.pgm
OK   small_482.pgm -> small_482.pgm
OK   small_325.pgm -> small_325.pgm
OK   small_821.pgm -> small_821.pgm
OK   small_453.pgm -> small_453.pgm
OK   small_1105.pgm -> small_1105.pgm
OK   small_032.pgm -> small_032.pgm
OK   small_795.pgm -> small_795.pgm
OK   small_1564.pgm -> small_1564.pgm
OK   small_1916.pgm -> small_1916.pgm
OK   small_979.pgm -> small_979.pgm
OK   small_738.pgm -> small_738.pgm
OK   small_359.pgm -> small_359.pgm
OK   small_1179.pgm -> small_1179.pgm
OK   small_388.pgm -> small_388.pgm
OK   small_1518.pgm -> small_1518.pgm
OK   small_577.pgm -> small_577.pgm
OK   small_905.pgm -> small_905.pgm
OK   small_1021.pgm -> small_1021.pgm
OK   small_1786.pgm -> small_1786.pgm
OK   small_116.pgm -> small_116.pgm
OK   small_1832.pgm -> small_1832.pgm
OK   small_1440.pgm -> small_1440.pgm
OK   small_1491.pgm -> small_1491.pgm
OK   small_1336.pgm -> small_1336.pgm
OK   small_660.pgm -> small_660.pgm
OK   small_1757.pgm -> small_1757.pgm
OK   small_201.pgm -> small_201.pgm
OK   small_1918.pgm -> small_1918.pgm
OK   small_505.pgm -> small_505.pgm
OK   small_977.pgm -> small_977.pgm
OK   small_1053.pgm -> small_1053.pgm
OK   small_164.pgm -> small_164.pgm
OK   small_1395.pgm -> small_1395.pgm
OK   small_1840.pgm -> small_1840.pgm
OK   small_1432.pgm -> small_1432.pgm
OK   small_1344.pgm -> small_1344.pgm
OK   small_1891.pgm -> small_1891.pgm
OK   small_612.pgm -> small_612.pgm
OK   small_1725.pgm -> small_1725.pgm
OK   small_1082.pgm -> small_1082.pgm
OK   small_273.pgm -> small_273.pgm
OK   small_1260.pgm -> small_1260.pgm
OK   small_736.pgm -> small_736.pgm
OK   small_091.pgm -> small_091.pgm
OK   small_1601.pgm -> small_1601.pgm
OK   small_357.pgm -> small_357.pgm
OK   small_882.pgm -> small_882.pgm
OK   small_386.pgm -> small_386.pgm
OK   small_853.pgm -> small_853.pgm
OK   small_421.pgm -> small_421.pgm
OK   small_1177.pgm -> small_1177.pgm
OK   small_040.pgm -> small_040.pgm
OK   small_1516.pgm -> small_1516.pgm
OK   small_1964.pgm -> small_1964.pgm
OK   small_1788.pgm -> small_1788.pgm
OK   small_579.pgm -> small_579.pgm
OK   small_118.pgm -> small_118.pgm
OK   small_1338.pgm -> small_1338.pgm
OK   small_1759.pgm -> small_1759.pgm
OK   small_1267.pgm -> small_1267.pgm
OK   small_096.pgm -> small_096.pgm
OK   small_731.pgm -> small_731.pgm
OK   small_1606.pgm -> small_1606.pgm
OK   small_885.pgm -> small_885.pgm
OK   small_350.pgm -> small_350.pgm
OK   small_426.pgm -> small_426.pgm
OK   small_854.pgm -> small_854.pgm
OK   small_381.pgm -> small_381.pgm
OK   small_1170.pgm -> small_1170.pgm
OK   small_047.pgm -> small_047.pgm
OK   small_1963.pgm -> small_1963.pgm
OK   small_1511.pgm -> small_1511.pgm
OK   small_1028.pgm -> small_1028.pgm
OK   small_1449.pgm -> small_1449.pgm
OK   small_669.pgm -> small_669.pgm
