filename,op,ms
small_037.pgm,histeq,0.0256
small_030.pgm,gauss,0.011264
small_030.pgm,sobel,0.00512
small_030.pgm,histeq,0.026624
small_168.pgm,gauss,0.01024
small_168.pgm,sobel,0.00512
small_168.pgm,histeq,0.0256
small_114.pgm,gauss,0.01024
small_114.pgm,sobel,0.00512
small_114.pgm,histeq,0.0256
small_005.pgm,gauss,0.01024
small_005.pgm,sobel,0.00512
small_005.pgm,histeq,0.026624
small_079.pgm,gauss,0.009216
small_079.pgm,sobel,0.00512
small_079.pgm,histeq,0.0256
small_121.pgm,gauss,0.01024
small_121.pgm,sobel,0.00512
small_121.pgm,histeq,0.0256
small_126.pgm,gauss,0.011264
small_126.pgm,sobel,0.00512
small_126.pgm,histeq,0.0256
small_002.pgm,gauss,0.011264
small_002.pgm,sobel,0.006144
small_002.pgm,histeq,0.0256
small_070.pgm,gauss,0.011264
small_070.pgm,sobel,0.00512
small_070.pgm,histeq,0.026624
small_128.pgm,gauss,0.01024
small_128.pgm,sobel,0.00512
small_128.pgm,histeq,0.026624
small_185.pgm,gauss,0.01024
small_185.pgm,sobel,0.00512
small_185.pgm,histeq,0.0256
small_154.pgm,gauss,0.01024
small_154.pgm,sobel,0.00512
small_154.pgm,histeq,0.0256
small_182.pgm,gauss,0.01024
small_182.pgm,sobel,0.00512
small_182.pgm,histeq,0.026624
small_153.pgm,gauss,0.01024
small_153.pgm,sobel,0.00512
small_153.pgm,histeq,0.036864
small_077.pgm,gauss,0.013312
small_077.pgm,sobel,0.00512
small_077.pgm,histeq,0.03584
small_142.pgm,gauss,0.01024
small_142.pgm,sobel,0.00512
small_142.pgm,histeq,0.026624
small_193.pgm,gauss,0.01024
small_193.pgm,sobel,0.00512
small_193.pgm,histeq,0.026624
small_066.pgm,gauss,0.01024
small_066.pgm,sobel,0.00512
small_066.pgm,histeq,0.0256
small_139.pgm,gauss,0.01024
small_139.pgm,sobel,0.00512
small_139.pgm,histeq,0.026624
small_061.pgm,gauss,0.011264
small_061.pgm,sobel,0.00512
small_061.pgm,histeq,0.026624
small_145.pgm,gauss,0.011232
small_145.pgm,sobel,0.00512
small_145.pgm,histeq,0.0256
small_194.pgm,gauss,0.01024
small_194.pgm,sobel,0.00512
small_194.pgm,histeq,0.027648
small_137.pgm,gauss,0.01024
small_137.pgm,sobel,0.00512
small_137.pgm,histeq,0.0256
small_013.pgm,gauss,0.009216
small_013.pgm,sobel,0.005056
small_013.pgm,histeq,0.026624
small_014.pgm,gauss,0.010208
small_014.pgm,sobel,0.004096
small_014.pgm,histeq,0.026624
small_130.pgm,gauss,0.011264
small_130.pgm,sobel,0.004096
small_130.pgm,histeq,0.026592
small_068.pgm,gauss,0.01024
small_068.pgm,sobel,0.004096
small_068.pgm,histeq,0.026624
small_179.pgm,gauss,0.01024
small_179.pgm,sobel,0.004096
small_179.pgm,histeq,0.026624
small_021.pgm,gauss,0.011264
small_021.pgm,sobel,0.00512
small_021.pgm,histeq,0.0256
small_105.pgm,gauss,0.009216
small_105.pgm,sobel,0.00512
small_105.pgm,histeq,0.0256
small_102.pgm,gauss,0.011264
small_102.pgm,sobel,0.00512
small_102.pgm,histeq,0.026624
small_026.pgm,gauss,0.01024
small_026.pgm,sobel,0.00512
small_026.pgm,histeq,0.026624
small_054.pgm,gauss,0.012288
small_054.pgm,sobel,0.00512
small_054.pgm,histeq,0.03072
small_085.pgm,gauss,0.01024
small_085.pgm,sobel,0.00512
small_085.pgm,histeq,0.027648
small_170.pgm,gauss,0.01024
small_170.pgm,sobel,0.00512
small_170.pgm,histeq,0.0256
small_028.pgm,gauss,0.01024
small_028.pgm,sobel,0.00512
small_028.pgm,histeq,0.0256
small_177.pgm,gauss,0.010272
small_177.pgm,sobel,0.00512
small_177.pgm,histeq,0.0256
small_053.pgm,gauss,0.01024
small_053.pgm,sobel,0.00512
small_053.pgm,histeq,0.026624
small_082.pgm,gauss,0.011264
small_082.pgm,sobel,0.00512
small_082.pgm,histeq,0.026624
small_183.pgm,gauss,0.009216
small_183.pgm,sobel,0.004096
small_183.pgm,histeq,0.026624
small_152.pgm,gauss,0.01024
small_152.pgm,sobel,0.004096
small_152.pgm,histeq,0.026624
small_076.pgm,gauss,0.009216
small_076.pgm,sobel,0.00512
small_076.pgm,histeq,0.026624
small_071.pgm,gauss,0.011264
small_071.pgm,sobel,0.006144
small_071.pgm,histeq,0.026624
small_129.pgm,gauss,0.01024
small_129.pgm,sobel,0.006144
small_129.pgm,histeq,0.0256
small_184.pgm,gauss,0.011264
small_184.pgm,sobel,0.006144
small_184.pgm,histeq,0.026624
small_155.pgm,gauss,0.010176
small_155.pgm,sobel,0.004096
small_155.pgm,histeq,0.026624
small_127.pgm,gauss,0.011264
small_127.pgm,sobel,0.00512
small_127.pgm,histeq,0.026624
small_003.pgm,gauss,0.016384
small_003.pgm,sobel,0.00512
small_003.pgm,histeq,0.0256
small_004.pgm,gauss,0.011264
small_004.pgm,sobel,0.00512
small_004.pgm,histeq,0.026624
small_078.pgm,gauss,0.01024
small_078.pgm,sobel,0.006144
small_078.pgm,histeq,0.024576
small_120.pgm,gauss,0.01024
small_120.pgm,sobel,0.00512
small_120.pgm,histeq,0.0256
small_031.pgm,gauss,0.012288
small_031.pgm,sobel,0.00512
small_031.pgm,histeq,0.029696
small_169.pgm,gauss,0.011264
small_169.pgm,sobel,0.00512
small_169.pgm,histeq,0.029696
small_115.pgm,gauss,0.011264
small_115.pgm,sobel,0.00512
small_115.pgm,histeq,0.0256
small_112.pgm,gauss,0.01024
small_112.pgm,sobel,0.006144
small_112.pgm,histeq,0.0256
small_036.pgm,gauss,0.01024
small_036.pgm,sobel,0.00512
small_036.pgm,histeq,0.026624
small_095.pgm,gauss,0.01024
small_095.pgm,sobel,0.00512
small_095.pgm,histeq,0.0256
small_044.pgm,gauss,0.011264
small_044.pgm,sobel,0.00512
small_044.pgm,histeq,0.027648
small_038.pgm,gauss,0.01024
small_038.pgm,sobel,0.00512
small_038.pgm,histeq,0.0256
small_160.pgm,gauss,0.01024
small_160.pgm,sobel,0.00512
small_160.pgm,histeq,0.025632
small_167.pgm,gauss,0.010272
small_167.pgm,sobel,0.006144
small_167.pgm,histeq,0.0256
small_092.pgm,gauss,0.01024
small_092.pgm,sobel,0.00512
small_092.pgm,histeq,0.0256
small_043.pgm,gauss,0.009216
small_043.pgm,sobel,0.009216
small_043.pgm,histeq,0.026624
small_176.pgm,gauss,0.01024
small_176.pgm,sobel,0.00512
small_176.pgm,histeq,0.0256
small_052.pgm,gauss,0.01024
small_052.pgm,sobel,0.00512
small_052.pgm,histeq,0.0256
small_083.pgm,gauss,0.011264
small_083.pgm,sobel,0.00512
small_083.pgm,histeq,0.026624
small_055.pgm,gauss,0.01024
small_055.pgm,sobel,0.006144
small_055.pgm,histeq,0.0256
small_084.pgm,gauss,0.011264
small_084.pgm,sobel,0.006144
small_084.pgm,histeq,0.026624
small_171.pgm,gauss,0.010272
small_171.pgm,sobel,0.00512
small_171.pgm,histeq,0.026624
small_029.pgm,gauss,0.01024
small_029.pgm,sobel,0.004096
small_029.pgm,histeq,0.0256
small_103.pgm,gauss,0.011264
small_103.pgm,sobel,0.006112
small_103.pgm,histeq,0.029696
small_027.pgm,gauss,0.011264
small_027.pgm,sobel,0.00512
small_027.pgm,histeq,0.03072
small_178.pgm,gauss,0.012288
small_178.pgm,sobel,0.00512
small_178.pgm,histeq,0.029696
small_020.pgm,gauss,0.012288
small_020.pgm,sobel,0.00512
small_020.pgm,histeq,0.029696
small_104.pgm,gauss,0.011264
small_104.pgm,sobel,0.00512
small_104.pgm,histeq,0.0256
small_015.pgm,gauss,0.01024
small_015.pgm,sobel,0.00512
small_015.pgm,histeq,0.04608
